title,year,rated,released,runtime,genre,director,writer,actors,plot,language,country,awards,poster,ratings,metascore,imdb_rating,imdb_votes,imdb_id,type,dvd,box_office,production,website,response
One Starry Christmas,2014,TV-G,01 Nov 2014,83 min,"Comedy, Drama, Romance",John Bradshaw,"Rickie Castaneda, Megan Hocking","Sarah Carter, Damon Runyan, Paul Popowich","When journeying by bus to surprise her boyfriend for Christmas, Holly meets a charming cowboy who accompanies her.",English,Canada,N/A,https://m.media-amazon.com/images/M/MV5BYTQzMjdjY2YtZDljZi00OWZkLWJlMmItMTRlZjBiNzY3Y2JlXkEyXkFqcGdeQXVyNjg5MzE4NTA@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '6.5/10'}]",N/A,6.5,"2,124",tt4159212,movie,N/A,N/A,N/A,N/A,True
One Piece: Clockwork Island Adventure,2001,N/A,03 Mar 2001,55 min,"Animation, Adventure, Comedy",Atsuji Shimizu,"Eiichiro Oda, Yuji Hashimoto","Akemi Okamura, Hiroaki Hirata, Kappei Yamaguchi","Relaxing on a cozy beach, the Straw Hat Pirates are taking a rest from their quest. Right until Luffy noticed the Going Merry has been hijacked and sailed off from the beach. This leads them to search the ship and find the thief w...",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BMjAwMjk1NWQtMzY3ZS00Nzk1LWFmNTYtNDE5YjZiNGZjY2Q4XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '6.8/10'}]",N/A,6.8,"2,117",tt0832449,movie,N/A,N/A,N/A,N/A,True
The One That Got Away,1957,Not Rated,22 Nov 1957,111 min,"Adventure, Drama, War",Roy Ward Baker,"Howard Clewes, Kendal Burt, James Leasor","Hardy Krüger, Colin Gordon, Michael Goodliffe",A cocky German fighter pilot is shot down over England in 1940 and makes numerous attempts to escape to fight again.,"English, German",United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BYzhmZTExNWUtOTBmYi00MDdkLWE3NDEtYmVmODdlOWRmMjU0XkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.1/10'}]",N/A,7.1,"2,077",tt0050803,movie,N/A,N/A,N/A,N/A,True
One Night in Bangkok,2020,R,16 Jun 2020,105 min,"Action, Crime, Drama",Wych Kaosayananda,Wych Kaosayananda,"Mark Dacascos, Vanida Golten, Prinya Intachai","A hit man named Kai (Mark Dacascos) flies into Bangkok, gets a gun, and orders a cab. He offers a professional female driver big money to be his all-night driver. But when she realizes Kai is committing brutal murders at each stop...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjdiYjQyNWMtZjExMi00ZWYwLWE3NWUtNzhkYjIzMjdhZTkzXkEyXkFqcGdeQXVyOTg4MDYyNw@@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '5.1/10'}, {'source': 'Rotten Tomatoes', 'value': '33%'}]",N/A,5.1,"2,062",tt12192190,movie,23 Aug 2020,N/A,N/A,N/A,True
One and Two,2015,Not Rated,14 Aug 2015,90 min,"Drama, Fantasy, Thriller",Andrew Droz Palermo,"Andrew Droz Palermo, Neima Shahdadi","Kiernan Shipka, Timothée Chalamet, Elizabeth Reaser","Two siblings discover a supernatural escape from a troubled home, but find their bond tested when reality threatens to tear their family apart.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMDkyNWM3MzYtMzE2Mi00NzQxLTgzM2QtNmMyMzUwYjdiM2RkXkEyXkFqcGdeQXVyNDcxNzU3MTE@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '5.2/10'}, {'source': 'Rotten Tomatoes', 'value': '47%'}, {'source': 'Metacritic', 'value': '47/100'}]",47,5.2,"2,029",tt3975510,movie,08 Dec 2015,N/A,N/A,N/A,True
One Missed Call 3: Final,2006,Not Rated,24 Jun 2006,109 min,Horror,Manabu Asô,"Yasushi Akimoto, Minako Daira, Jiro Shin","Maki Horikita, Meisa Kuroki, Keun-Suk Jang","The timid, young Asuka is bullied by her classmates. When they embark on a class field trip to Korea, Asuka plans revenge by sending them a cursed phone message they can either pass on or die.",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BODcyYTg2ZGQtMTg5NC00ZmU4LWI2OGMtMWIxYzY3NjRhOTJmXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '4.9/10'}]",N/A,4.9,"1,991",tt0978797,movie,01 Mar 2011,N/A,N/A,N/A,True
The Elder One,2019,Not Rated,08 Nov 2019,125 min,"Action, Crime, Drama",Geethu Mohandas,"Anurag Kashyap, Geethu Mohandas, Sreeja Sreedharan","Nivin Pauly, Shashank Arora, Sanjana Dipu","A transgender child from Lakshadweep sets off to Mumbai in pursuit of Akbar, an elder brother who left the island due to his sexual orientation.",Malayalam,India,2 wins,https://m.media-amazon.com/images/M/MV5BNjVmZmI2MDEtMjllNy00NDIwLWJiZGUtNjc3NmY3MTViZDMyXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.5/10'}]",N/A,7.5,"1,986",tt6409416,movie,N/A,N/A,N/A,N/A,True
Symbiopsychotaxiplasm: Take One,1968,Not Rated,28 Oct 1968,75 min,Documentary,William Greaves,William Greaves,"Patricia Ree Gilbert, Don Fellows, Jonathan Gordon","Filmmaker William Greaves auditioned acting students for a fictional drama, while simultaneously shooting the behind-the-scenes drama taking place.","English, French, Italian",United States,2 wins,https://m.media-amazon.com/images/M/MV5BMTQ1ODYyODYyOV5BMl5BanBnXkFtZTcwNDM0MTA0MQ@@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.2/10'}, {'source': 'Rotten Tomatoes', 'value': '88%'}, {'source': 'Metacritic', 'value': '71/100'}]",71,7.2,"1,968",tt0296881,movie,05 Dec 2006,N/A,N/A,N/A,True
One Piece: Dead End Adventure,2003,TV-14,01 Mar 2003,95 min,"Animation, Action, Adventure",Kônosuke Uda,"Eiichiro Oda, Yoshiyuki Suga","Sarah Chaney, Hiroaki Hirata, Shûichi Ikeda",Luffy and his gang finds out about and joins the death race DeadEnd and the ex-marine Gasparde and the bounty hunter Shuraiya clash as the conspiracy of the race unfolds.,"Italian, Japanese",Japan,N/A,https://m.media-amazon.com/images/M/MV5BMDExNjM1NmQtNjkxZi00N2Q5LWFjNjItOGVkMTUzNTFkYWVkXkEyXkFqcGdeQXVyMjAwMzU2MDY@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.2/10'}]",N/A,7.2,"1,926",tt1006926,movie,N/A,N/A,N/A,N/A,True
One Piece: Baron Omatsuri and the Secret Island,2005,N/A,05 Mar 2005,88 min,"Animation, Action, Adventure",Mamoru Hosoda,"Masahiro Ito, Eiichiro Oda","Takeshi Aono, Shô Ayanokôji, Kôhei Fukuhara","The Straw Hat Pirates received an advertisement on a recreational island. The offers all looked promising, so they sailed to the island for an opportunity to kick back and relax from their journey across the Grand Line. The site o...",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BODU0ZTIwYTMtMjQ1MC00YmIyLWJhYjMtMTMzYjM4ZmM0ODRmXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.1/10'}]",N/A,7.1,"1,912",tt1018764,movie,N/A,N/A,N/A,N/A,True
"One Sings, the Other Doesn't",1977,Not Rated,09 Mar 1977,120 min,"Drama, History",Agnès Varda,Agnès Varda,"Thérèse Liotard, Valérie Mairesse, Robert Dadiès","The lives of Pomme, an aspiring singer, and Suzanne, a struggling mother, as they search for their own identity in 1970s France.","English, Dutch, Persian, French","France, Soviet Union",1 win,https://m.media-amazon.com/images/M/MV5BYWZiZDQ1OTctZWMyMy00MTk3LWE5ZDgtODQ5ZTFjOTAxMDIwXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.3/10'}, {'source': 'Rotten Tomatoes', 'value': '82%'}]",N/A,7.3,"1,896",tt0076855,movie,05 Apr 2019,"$19,919",N/A,N/A,True
"Institute Benjamenta, or This Dream That One Calls Human Life",1995,N/A,23 Aug 1996,105 min,Drama,"Stephen Quay, Timothy Quay, Weiser Quay","Alan Passes, Stephen Quay, Timothy Quay","Mark Rylance, Alice Krige, Gottfried John","A young man goes to a school for servants run by a brother and sister. In the dreamlike and surreal world that he enters, how will his presence impact the people there and possibly even the school itself?","Afrikaans, Spanish, English, German","United Kingdom, Japan, Germany",4 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BMTA4OTYxNjQ0NDNeQTJeQWpwZ15BbWU3MDU0MTMyMzg@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.0/10'}, {'source': 'Rotten Tomatoes', 'value': '100%'}]",N/A,7.0,"1,876",tt0113429,movie,24 Jul 2012,N/A,N/A,N/A,True
Mike Birbiglia: The New One,2019,N/A,26 Nov 2019,85 min,Comedy,Seth Barrish,"Mike Birbiglia, Jennifer Stein",Mike Birbiglia,Comedian Mike Birbiglia hits Broadway with a hilarious yet profound one-man show that recounts his emotional and physical journey to parenthood.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMzMwZTE5OTAtYzZhMS00MjVlLWE4MjAtMWU0OGM0NTI2ODgwXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.7/10'}, {'source': 'Rotten Tomatoes', 'value': '100%'}]",N/A,7.7,"1,829",tt11163014,movie,26 Nov 2019,N/A,N/A,N/A,True
Number One Fan,2014,PG,24 Sep 2014,104 min,"Comedy, Drama, Thriller",Jeanne Herry,"Jeanne Herry, Gaëlle Macé","Sandrine Kiberlain, Laurent Lafitte, Pascal Demolon","Muriel Bayen, a divorced beautician and mother of two, loves to tell stories. She is a huge fan of this singer Vincent Lacroix, in fact she is a dedicated fan. One day Vincent knocks on her door and asks for her help.",French,France,1 win & 7 nominations,https://m.media-amazon.com/images/M/MV5BMTg4NTU4Mjc2M15BMl5BanBnXkFtZTgwNzU1OTAyNTE@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '6.4/10'}, {'source': 'Rotten Tomatoes', 'value': '79%'}]",N/A,6.4,"1,825",tt3433358,movie,08 Dec 2015,"$15,549",N/A,N/A,True
Square One: Michael Jackson,2019,Not Rated,05 Oct 2019,83 min,Documentary,Danny Wu,"Shania Kumar, Danny Wu","Danny Wu, Charles Thomson, Jenny Winings",An investigation into the original 1993 allegations against Michael Jackson brought by the Chandler family.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOWEwMTRiY2ItOTNlMC00ZmRjLWFhZDktMDk3N2JhYTQ1ODI5XkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.5/10'}]",N/A,7.5,"1,823",tt11033952,movie,05 Oct 2019,N/A,N/A,N/A,True
One Royal Holiday,2020,TV-G,31 Oct 2020,85 min,"Comedy, Drama, Family",Dustin Rikert,Julie Sherman Wolfe,"Laura Osnes, Krystal Joy Brown, Tom McGowan","When Anna offers a stranded mother and son shelter in a blizzard, she learns that they are the Royal Family of Galwick. Anna shows the Prince how they do Christmas in her hometown, encouraging him to open his heart and be true to ...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BN2YyZTFjMWMtMGZkMS00MGQ5LWE2ZTktNGIxMWMxN2Y3MjZjXkEyXkFqcGdeQXVyMjkwMjY1MjI@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.0/10'}]",N/A,7.0,"1,821",tt12773628,movie,02 Nov 2021,N/A,N/A,N/A,True
One of Our Dinosaurs Is Missing,1975,G,09 Jul 1975,94 min,"Adventure, Comedy, Family",Robert Stevenson,"Bill Walsh, David Forrest","Peter Ustinov, Helen Hayes, Derek Nimmo","A suspected Western spy steals a secret microfilm from China and hides it in the skeleton of a museum dinosaur, prompting a frantic search for it by various interested parties.",English,"United Kingdom, United States",N/A,https://m.media-amazon.com/images/M/MV5BYWI0M2NmOTEtZDhiOS00MTZkLWIzYjYtNDVkZmU2MjJkYTNkXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '5.9/10'}]",N/A,5.9,"1,802",tt0075016,movie,01 Mar 2013,N/A,N/A,N/A,True
Gabriel &quot;Fluffy&quot; Iglesias: One Show Fits All,2019,TV-14,29 Jan 2019,90 min,Comedy,Manny Rodriguez,Gabriel Iglesias,Gabriel Iglesias,"Gabriel ""Fluffy"" Iglesias discusses his teenage son, encounters with Snoop Dogg and an overzealous fan, and more.",English,N/A,1 nomination,https://m.media-amazon.com/images/M/MV5BYjFlMWU1NWEtZTRkZi00YTBlLThjYzUtZmZiYTUxNDFiYjdkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.2/10'}]",N/A,7.2,"1,799",tt9426212,movie,N/A,N/A,N/A,N/A,True
One Winter Weekend,2018,TV-G,20 Jan 2018,84 min,"Drama, Family, Romance",Gary Yates,Erinne Dobson,"Taylor Cole, Jack Turner, Rukiya Bernard","A recently dumped travel writer goes on a ski getaway with her best friend and they find themselves double booked with two eligible men. When they are snowed in, love ensues, as it always does.",English,"Canada, United States",N/A,https://m.media-amazon.com/images/M/MV5BYTlhZmY1NjQtNjRmNy00NTRmLTk0NGQtZTk4ZDgxNWY0YmYyXkEyXkFqcGdeQXVyNjk2Mjc2OTI@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '6.6/10'}]",N/A,6.6,"1,791",tt7817348,movie,09 Nov 2020,N/A,N/A,N/A,True
One Piece: The Cursed Holy Sword,2004,TV-14,06 Mar 2004,95 min,"Animation, Action, Adventure",Kazuhisa Takenouchi,"Eiichiro Oda, Yoshiyuki Suga","Takeshi Aono, Hiroaki Hirata, Masami Hisamoto",The Straw Hat Pirates learn about the Shichiseiken on Asuka Island. Zoro disappears and the marines attack the island. Luffy and his gang fight off the marines when they find happen to find Zoro in enemy lines.,"Italian, Japanese",Japan,N/A,https://m.media-amazon.com/images/M/MV5BZWRkZjlkNzItZWRiOS00NDcwLTljNjQtODQxZjgyNDE4YzMyXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '6.7/10'}]",N/A,6.7,"1,751",tt1010435,movie,25 Apr 2006,N/A,N/A,N/A,True
Die in One Day,2017,N/A,30 Oct 2017,79 min,"Horror, Thriller",Eros D'Antona,Eros D'Antona,"Kateryna Korchynska, David White, Mirko D'Antona","After a failed marriage, Richard is in search of his daughter Mindy. He meets Sasha, an aspiring actress who promises to help him. But the hope to get some quick cash by performing in a 24 hours play soon turns out to be a bloody ...",English,Italy,N/A,https://m.media-amazon.com/images/M/MV5BMGZlYTI5NDktY2Y5MS00N2Y1LWI2NzItYzM2YWI3MTM2Nzc3XkEyXkFqcGdeQXVyNjc5MjM5ODE@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '3.8/10'}]",N/A,3.8,"1,744",tt7115500,movie,N/A,N/A,N/A,N/A,True
One on One,1977,PG,17 Feb 1978,98 min,"Drama, Sport",Lamont Johnson,"Robby Benson, Jerry Segal","Robby Benson, Annette O'Toole, G.D. Spradlin","A small-town basketball star goes to college and tries to impress his tutor, teammates, and coach.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjFjYjRhODMtYTc1Zi00M2JlLWIyODEtM2JkZjA5ZGE4ZjE0XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '6.5/10'}, {'source': 'Rotten Tomatoes', 'value': '88%'}]",N/A,6.5,"1,724",tt0076500,movie,23 Mar 2009,N/A,N/A,N/A,True
The Small One,1978,G,16 Dec 1978,26 min,"Animation, Short, Drama","Don Bluth, Jack Cutting, Wolfgang Reitherman","Vance Gerry, Peter Young, Charles Tazewell","Sean Marshall, William Woodson, Olan Soule","Ordered by his father to sell his old, small donkey, named Small One, a Hebrew boy in ancient Israel takes the donkey to the Jerusalem market. Finding no buyers there, the boy is about to give up when he meets a kind man named Jos...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNGYwNWI5MGUtOWUwNC00OTc2LWJkMWMtYzJiMzkzMmM0N2I0XkEyXkFqcGdeQXVyNDgyODgxNjE@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.6/10'}]",N/A,7.6,"1,715",tt0078281,movie,N/A,N/A,N/A,N/A,True
The Search for One-eye Jimmy,1994,R,21 Jun 1996,84 min,Comedy,Sam Henry Kass,Sam Henry Kass,"Holt McCallany, Michael Badalucco, Nicholas Turturro",Les is making a film about his old neighborhood in Brooklyn. One-eye Jimmy goes missing and Les switches to making a film about Jimmy and the people searching.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMzJlOWJhMzctZjcwZi00M2FjLTk0ZDItMDZiZTI2Mjg4NzEyXkEyXkFqcGdeQXVyMjc1NDA2OA@@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '6.0/10'}]",N/A,6.0,"1,712",tt0117577,movie,06 Mar 2012,"$71,314",N/A,N/A,True
One Night in the Tropics,1940,Passed,15 Nov 1940,82 min,"Comedy, Musical, Romance",A. Edward Sutherland,"Gertrude Purcell, Charles Grayson, Kathryn Scola","Allan Jones, Nancy Kelly, Robert Cummings","Jim ""Lucky"" Moore (Allan Jones), an insurance salesman, comes up with a novel policy for his friend, Steve (Robert Cummings): a 'love insurance policy', that will pay out $1-million if Steve does not marry his fiancee, Cynthia (Na...",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BYmVlMDgwY2EtMjhhYy00M2ViLWFlOTUtNzg2MTk3ZTYzNzMyXkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '6.3/10'}]",N/A,6.3,"1,712",tt0032873,movie,N/A,N/A,N/A,N/A,True
Mickey One,1965,Not Rated,27 Sep 1965,93 min,"Crime, Drama",Arthur Penn,Alan Surgal,"Warren Beatty, Alexandra Stewart, Hurd Hatfield","After the mob tries to kill him for an unknown reason, a comedian steals the identity of a homeless man and goes on the run.","English, Polish",United States,2 nominations,https://m.media-amazon.com/images/M/MV5BYzNkODlkYjgtYWI4OS00MDBkLWFiZTYtNmU1YWIxZTcyZWZkXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '6.4/10'}, {'source': 'Rotten Tomatoes', 'value': '71%'}]",N/A,6.4,"1,680",tt0059447,movie,13 Apr 2011,N/A,N/A,N/A,True
"The Other One: The Long, Strange Trip of Bob Weir",2014,N/A,22 May 2015,85 min,"Documentary, Biography, Music",Mike Fleiss,N/A,"John Perry Barlow, Chuck Berry, Neal Cassady","A documentary that explores Bob Weirs life, through the Grateful Dead, Ratdog, and his childhood.",English,United States,1 win,https://m.media-amazon.com/images/M/MV5BOWU4OGNlN2ItNmJiNy00MjU4LTkyMGQtZjc5MTRiMmQ4ZGU4XkEyXkFqcGdeQXVyMjExNjgyMTc@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.3/10'}]",N/A,7.3,"1,664",tt3692768,movie,N/A,N/A,N/A,N/A,True
One Piece: Episode of Alabasta - The Desert Princess and the Pirates,2007,PG-13,03 Mar 2007,90 min,"Animation, Action, Adventure",Takahiro Imamura,"Eiichiro Oda, Hirohiko Uesaka","Charles Baker, Troy Baker, Anthony Bowling","A re-telling of the Alabaster Arc from One Piece (TV). Luffy and his crew come to rescue a land in the midst of a civil war, due to a powerful devil fruit user.",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BMDNiMzc2ZjctNTk0OC00NWU1LTk1MWItNGU2NjNkNjI0ZDc3XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '6.9/10'}]",N/A,6.9,"1,631",tt1037116,movie,03 Dec 2020,"$6,587",N/A,N/A,True
One Hundred and One Nights,1995,N/A,25 Jan 1995,104 min,"Comedy, History, Romance",Agnès Varda,Agnès Varda,"Michel Piccoli, Marcello Mastroianni, Henri Garcin","Monsieur Cinema, a hundred years old, lives alone in a large villa. His memories fade away, so he engages a young woman to tell him stories about all the movies ever made.",French,"United Kingdom, France",1 nomination,https://m.media-amazon.com/images/M/MV5BNDA0N2E4Y2QtNDA3Ni00YmFiLWFjNmItODQ2Y2ZiMDg3YzU0XkEyXkFqcGdeQXVyMjQzMzQzODY@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '6.4/10'}]",N/A,6.4,"1,581",tt0112654,movie,N/A,N/A,N/A,N/A,True
One Piece: Chopper's Kingdom in the Strange Animal Island,2002,N/A,02 Mar 2002,56 min,"Animation, Action, Adventure",Atsuji Shimizu,"Hiroshi Hashimoto, Eiichiro Oda","Takeshi Aono, Masashi Ebara, Toshiko Fujita","As the Straw Hat Pirates sail through the Grand Line. Chopper has been teased by Usopp about him not being brave enough to face dangers like a real pirate. They spot an upcoming island, and according to Nami's map reading. The isl...","Italian, Japanese",Japan,N/A,https://m.media-amazon.com/images/M/MV5BZjM4ZmE1YzgtNGNlYi00Y2MzLTk0ZjAtZDhmMzBkMTQ0ZWZjXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '6.4/10'}]",N/A,6.4,"1,566",tt0997084,movie,N/A,N/A,N/A,N/A,True
The New One-Armed Swordsman,1971,R,07 Feb 1971,98 min,"Action, Drama",Cheh Chang,Kuang Ni,"David Chiang, Ching Lee, Lung Ti","Lei Li lost his right-arm in a sword duel with the master of a martial arts school, long ago. Now, he is able to defend himself well with just his left arm, and kung fu techniques. That he proves with just the help of his friend C...",Mandarin,Hong Kong,1 win,https://m.media-amazon.com/images/M/MV5BMjY0ZTViMDQtOWQ3MS00ZWRjLWJjZmUtZDQ0YmJlZjQyNTRkXkEyXkFqcGdeQXVyMTEzNTk5Nzk@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.2/10'}]",N/A,7.2,"1,565",tt0069518,movie,06 Mar 2017,N/A,N/A,N/A,True
Just One of the Girls,1993,R,13 Sep 1993,91 min,Comedy,Michael Keusch,Raul Fernandez,"Corey Haim, Nicole Eggert, Cameron Bancroft, Johannah Newmarch","A bullied teen disguises himself as a girl in order to escape the school's bully, but finds some upsides to it as well.",English,"Canada, USA",N/A,https://m.media-amazon.com/images/M/MV5BZTRmZGQwYTAtODI4OS00YTM1LThjOWMtNjViMzRiYTY3ZTM5XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '5.7/10'}]",N/A,5.7,"1,542",tt0107292,movie,N/A,N/A,N/A,N/A,True
Zatoichi and the One-Armed Swordsman,1971,Not Rated,13 Jan 1971,94 min,"Action, Adventure, Drama",Kimiyoshi Yasuda,"Kan Shimozawa, Takayuki Yamada, Kimiyoshi Yasuda","Shintarô Katsu, Jimmy Wang Yu, Watako Hamaki",Two of Japan and China's greatest heroic swordsman find themselves caught in a plot to protect a young child. But will national distrust and simple misunderstanding keep the two kindred spirits apart?,"Japanese, Mandarin","Japan, Hong Kong",1 nomination,https://m.media-amazon.com/images/M/MV5BMjU4MzljYmQtMWU1ZC00ZDAyLWI1ZDgtMmFiMTBkMzIxYWNhXkEyXkFqcGdeQXVyMTAxNDM2MTcz._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.2/10'}]",N/A,7.2,"1,540",tt0066602,movie,30 Nov 2016,N/A,N/A,N/A,True
One Last Dance,2003,PG-13,12 Nov 2004,101 min,"Drama, Romance",Lisa Niemi,"Kevin Bernhardt, Lisa Niemi","Patrick Swayze, Lisa Niemi, George De La Pena","In the wake of tragedy, a renowned NY dance company is on the brink of collapse. After leaving the dance world for good, Travis, Chrissa and Max have one last chance to re-connect with the passion and prove that miracles really ca...",English,Canada,N/A,https://m.media-amazon.com/images/M/MV5BNzE3MTE5NzM0M15BMl5BanBnXkFtZTcwNzA1ODkyMQ@@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '5.3/10'}]",N/A,5.3,"1,536",tt0157191,movie,23 Aug 2005,N/A,N/A,N/A,True
If You Are the One 2,2010,Not Rated,22 Dec 2010,120 min,"Comedy, Romance",Xiaogang Feng,"Xiaogang Feng, Shuo Wang","You Ge, Shu Qi, Honglei Sun","Wealthy middle-aged entrepreneur Qin and beautiful flight attendant Xiaoxiao Liang question their relationship after presiding over good friends Mang Guo and Shan Li's lavish ""divorce ceremony.""",Mandarin,China,2 wins & 7 nominations,https://m.media-amazon.com/images/M/MV5BMzU3ZGNjNzktZmI2Yi00YWMwLTk4N2UtYzg4YTlkMWE4NmY5XkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '5.9/10'}]",N/A,5.9,"1,533",tt1810602,movie,24 Feb 2017,"$426,894",N/A,N/A,True
Adele One Night Only,2021,TV-14,14 Nov 2021,88 min,"Documentary, Biography, Music",Paul Dugdale,"Lauren Greenberg, David Young","Adele, Oprah Winfrey, Louise Barnes",A primetime special welcoming back the superstar performer with an extraordinary concert performance that includes the earliest opportunity to hear her first new material in six years.,English,United States,1 win,https://m.media-amazon.com/images/M/MV5BZDYzNmI0NjUtNWNmYi00MmZiLWFkMDctMTllNTYzMTZiMDc0XkEyXkFqcGdeQXVyMjgzMDQwNTA@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.9/10'}]",N/A,7.9,"1,529",tt15711284,movie,N/A,N/A,N/A,N/A,True
One Million B.C.,1940,Approved,05 Apr 1940,80 min,"Adventure, Fantasy, Romance","Hal Roach Jr., Hal Roach","Mickell Novack, George Baker, Joseph Frickert","Victor Mature, Carole Landis, Lon Chaney Jr.",Tale of Prehistoric survival and love between a male and a female belonging to opposing tribes that happened to be at slightly different stages of evolution.,English,United States,Nominated for 2 Oscars. 3 nominations total,https://m.media-amazon.com/images/M/MV5BMTcxMTUyNzg4NV5BMl5BanBnXkFtZTgwODMzNzQ0MjE@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '5.7/10'}, {'source': 'Rotten Tomatoes', 'value': '80%'}]",N/A,5.7,"1,518",tt0032871,movie,31 Oct 2017,N/A,N/A,N/A,True
One Second,2020,N/A,27 Nov 2020,104 min,"Comedy, Drama, History",Yimou Zhang,"Geling Yan, Yimou Zhang, Jingzhi Zou","Yi Zhang, Haocun Liu, Wei Fan",A movie fan in a remote farmland strikes a relationship with a homeless female vagabond.,Mandarin,"China, Hong Kong",23 wins & 27 nominations,https://m.media-amazon.com/images/M/MV5BZjZhYzYxMjItZjgwZS00ZWY4LTljMDAtZDFiZDg5YWFlMjBhXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.2/10'}, {'source': 'Rotten Tomatoes', 'value': '100%'}, {'source': 'Metacritic', 'value': '79/100'}]",79,7.2,"1,518",tt8959680,movie,N/A,N/A,N/A,N/A,True
