title,first_genre,cleaned_plot,imdb_rating
One Thrilling Night,comedy,"['honeymoon', 'couple', 'new', 'york', 'one', 'night', 'wedded', 'bliss', 'hes', 'join', 'army', 'become', 'involved', 'gangsters', 'find', 'cadaver', 'bed']",5.6
The Meek One,drama,"['based', 'short', 'story', 'gentle', 'fyodor', 'dostoevsky']",6.7
One Hamlet Less,drama,"['meditation', 'art', 'elements', 'famous', 'tragedy']",7.2
Elton John: One Night Only - Greatest Hits Live,documentary,[],7.9
No One,documentary,"['story', 'central', 'american', 'immigrants', 'difficult', 'journey', 'united', 'states', 'search', 'better', 'life']",7.5
One Nation Under God,drama,"['student', 'boldly', 'stands', 'god', 'presidential', 'candidate', 'visits', 'school', 'exchange', 'goes', 'viral', 'challenging', 'step', 'faith', 'men', 'god', 'called']",1.8
One Too Many,comedy,"['uncle', 'arrives', 'visit', 'plump', 'find', 'wife', 'baby', 'hurry', 'help', 'friend', 'runt', 'soon', 'wives', 'babies', 'everywhere']",4.2
One Man's Way,drama,"['follows', 'life', 'worldfamous', 'minister', 'lecturer', 'bestselling', 'author']",6.6
Don Rickles: One Night Only,comedy,"['filmed', 'live', 'apollo', 'theatre', 'new', 'york', 'rickles', 'one', 'night', 'celebrates', 'life', 'career', 'mr', 'warmth', 'rickles', 'special', 'hosted', 'jerry', 'sienfeld', 'features', 'clips', 'dons', 'career', 'hollywood', 'wel']",8.2
The Best of Victor Borge: Act One & Two,comedy,"['classic', 'routines', 'victor', 'borge', 'made', 'famous', 'live', 'performance']",8.3
One Nightmare Stand,drama,"['mother', 'wife', 'finds', 'haunted', 'brief', 'affair', 'separated', 'husband', 'scorned', 'lover', 'refusing', 'give', 'must', 'fight', 'keep', 'family', 'secret', 'safe']",4.8
One Night,drama,"['way', 'home', 'one', 'night', 'young', 'working', 'girl', 'lives', 'alone', 'mother', 'asked', 'go', 'sleep', 'friends', 'house', 'wanders', 'night', 'teheran', 'meets', 'three', 'men', 'different', 'stories']",5.8
One Night Stand,drama,"['michelle', 'sanderson', 'ally', 'sheedy', 'woman', 'seems', 'everything', 'great', 'looks', 'promising', 'career', 'large', 'circle', 'friends', 'one', 'thing', 'yearns', 'romantic', 'relationship', 'somehow', 'eludes', 'one', 'n']",3.8
One Day in a Life,drama,[],6.0
One Hour in Wonderland,comedy,"['disneys', 'firstever', 'tv', 'production', 'edgar', 'bergen', 'takes', 'charlie', 'mccarthy', 'mortimer', 'snerd', 'christmas', 'party', 'thrown', 'walt', 'disney', 'clips', 'movies', 'animated', 'shorts', 'including', 'disneys', 'yet', 'released', 'alice', 'wonderland', 'ar']",7.6
One Way Boogie Woogie,documentary,"['sixty', 'oneminute', 'shots', 'camera', 'movement', 'tension', 'painterly', 'cinematic', 'space', 'experienced', 'intellectual', 'contrast', 'also', 'felt', 'dialectic', 'permanence', 'impermanence']",7.0
Quite Ugly One Morning,comedy,"['investigative', 'reporter', 'jack', 'parlabane', 'stumbles', 'across', 'aftermath', 'murder', 'scene', 'edinburgh', 'shows', 'little', 'sign', 'shock', 'gruesome', 'killing', 'respected', 'doctor']",5.9
No One Will Know,action,"['seemingly', 'perfect', 'couples', 'façade', 'dependent', 'whether', 'able', 'keep', 'revealing', 'role', 'murder', 'holding', 'engagement', 'party', 'remote', 'bay', 'outside', 'san', 'francisco']",3.7
One Night,drama,"['fifteen', 'new', 'yorkers', 'go', 'friday', 'night', 'unaware', 'fact', 'lives', 'change', 'larry', 'aampr', 'executive', 'sublimating', 'deep', 'fear', 'getting', 'older', 'carrying', 'affair', 'young', 'assistant', 'e']",4.0
Gorillaz: Phase One - Celebrity Take Down,documentary,[],8.2
Air Force One,documentary,"['role', 'air', 'force', 'one', 'united', 'states', 'presidency', 'fdr', 'george', 'w', 'bush']",7.0
One Long Night,comedy,"['richard', 'macedo', 'young', 'mexicanamerican', 'businessman', 'orange', 'county', 'whose', 'life', 'changed', 'course', 'one', 'night', 'series', 'beat', 'encounters', 'denizens', 'mexico', 'city']",3.8
Team Antonsen Live: One Night Only,comedy,[],7.3
One Nation Under Stress,documentary,"['one', 'nation', 'stress', 'follows', 'sanjay', 'gupta', 'tries', 'uncover', 'root', 'causes', 'american', 'life', 'expectancy', 'falling', 'shorter', 'major', 'developed', 'countries']",6.8
The One That Got Away,drama,"['woman', 'returns', 'childhood', 'town', 'splitting', 'husband', 'town', 'gripped', 'spree', 'burglaries', 'left', 'cloud', 'towns', 'gossipers', 'think', 'might', 'involved']",5.0
All for One,documentary,"['one', 'story', 'greenedge', 'australias', 'first', 'protour', 'cycling', 'team']",8.0
One Exciting Night,comedy,"['young', 'orphan', 'girl', 'courted', 'unpleasant', 'older', 'wealthy', 'man', 'hold', 'adoptive', 'mother', 'falls', 'love', 'young', 'stranger', 'party', 'odd', 'noises', 'begin', 'heard', 'group', 'bootleggers', 'clandestinely', 'try', 'g']",5.4
One Million K(l)icks,action,"['fighter', 'heart', 'gold', 'finds', 'drawn', 'internetstreaming', 'underground', 'martial', 'arts', 'tournament']",4.4
Design Is One: The Vignellis,documentary,"['documentary', 'two', 'worlds', 'influential', 'designers', 'lella', 'massimo', 'vignelli']",7.1
One-Armed Swordsman vs. Nine Killers,action,"['watch', 'wang', 'yu', 'onearmed', 'savior', 'battling', 'local', 'goons', 'martial', 'arts', 'classic', 'rather', 'amazing', 'moves', 'sleeve']",5.2
One Night Only,comedy,"['group', 'female', 'friends', 'get', 'together', 'hired', 'ladies', 'evening', 'make', 'quick', 'cash', 'throwing', 'raunchy', 'party', 'local', 'hockey', 'team']",4.6
One-Sided Passion,drama,"['partially', 'paralyzed', 'teenager', 'failing', 'sex', 'first', 'time', 'hes', 'eager', 'clumsy', 'sickly', 'local', 'country', 'girls', 'reject', 'starts', 'realize', 'affectionate', 'person', 'life', 'beautiful']",5.5
One Direction: Clevver's Ultimate Fan Guide,documentary,"['clevver', 'explores', 'groups', 'rise', 'fame', 'told', 'celebrities', 'fans', 'know', 'best', 'quirky', 'way', 'stars', 'like', 'robert', 'pattinson', 'miranda', 'cosgrove', 'amp', 'many', 'reveal', 'thoughts', 'megafamous', 'group']",4.4
One Way Ticket to Love,drama,"['backstage', 'romances', 'egotistical', 'singer', 'undervalued', 'manager', 'lovelorn', 'bandman', 'nude', 'dancer']",6.7
One Swedish Summer,comedy,"['young', 'shy', 'inexperienced', 'man', 'travels', 'back', 'sweden', 'spend', 'summer', 'mothers', 'house', 'meets', 'number', 'women', 'sexual', 'relations']",4.9
When No One Would Listen,drama,"['jessica', 'married', 'controlling', 'husband', 'gary', 'years', 'abuse', 'gets', 'worse', 'gets', 'job', 'bakery', 'makes', 'two', 'really', 'caring', 'friends', 'coworker', 'neighbor', 'lee', 'boss', 'walter']",6.5
"One Ticket, Two Movies!",comedy,"['inspired', 'recent', 'trip', 'usa', 'filmmaker', 'played', 'dariush', 'farhang', 'dreams', 'making', 'action', 'film', 'modern', 'iran', 'little', 'experience', 'draw', 'finds', 'task', 'much', 'daunting', 'first', 'im']",5.2
Peace One Day,documentary,"['story', 'jeremy', 'gilleys', 'attempts', 'persuade', 'global', 'community', 'via', 'united', 'nations', 'sanction', 'officially', 'day', 'without', 'conflict', 'ceasefire', 'day', 'global', 'day', 'peace']",7.7
"Eric Clapton: One More Car, One More Rider - Live on Tour 2001",documentary,"['film', 'makers', 'eric', 'clapton', '1960s', 'review', 'follows', 'claptons', 'bold', 'musical', 'journey', 'seventies', 'featuring', 'new', 'archive', 'interviews', 'rare', 'performance', 'footage']",8.4
One Giant Leap 2: What About Me?,documentary,"['one', 'giant', 'leap', 'created', 'unique', 'music', 'tv', 'film', 'project', 'culmination', '4', 'years', 'work', 'visiting', '50', 'global', 'locations', 'collecting', 'wisdom', 'musical', 'jewels']",8.4
Satudarah: One Blood,documentary,"['satudarah', 'dutch', 'motor', 'club', 'appears', 'frequently', 'news', 'alleged', 'criminal', 'activities', 'also', 'secret', 'world', 'full', 'rituals', 'en', 'codes', 'within', 'world', 'classical', 'ideals', 'like', 'virility', 'brotherhood', 'loyalty']",6.8
La Camioneta: The Journey of One American School Bus,documentary,"['every', 'day', 'dozens', 'decommissioned', 'school', 'buses', 'leave', 'united', 'states', 'southward', 'migration', 'carries', 'guatemala', 'repaired', 'repainted', 'resurrected', 'brightlycolored', 'camionetas', 'bring']",6.8
The Adventurous Adventures of One Direction,animation,"['one', 'direction', 'boys', 'save', 'pussy', 'cats', 'lord', 'faptiguise', 'harry', 'introduces', 'tacos', 'get', 'call', 'psymon', 'new', 'mission', 'realize', 'harrys', 'pussy', 'cat', 'went', 'missing', 'many', 'times', 'harry', 'gets', 'whacked']",6.3
One Thousand Ropes,drama,"['father', 'reconnects', 'estranged', 'teenage', 'daughter', 'given', 'rare', 'chance', 'reshape', 'future', 'family', 'unexpected', 'ways']",6.6
No One Will Ever Know,drama,"['anodyne', 'environment', 'perennial', 'lack', 'affection', 'push', 'lucia', 'braulio', 'turn', 'fiction', 'world', 'materialize', 'dreams', 'neither', 'inclement', 'reality', 'stop']",6.2
One Piece - Episode of East Blue: Luffy and His Four Friends' Great Adventure,animation,"['words', 'gold', 'roger', 'king', 'pirates', 'uttered', 'death', 'excited', 'masses', 'world', 'entered', 'great', 'pirate', 'era', 'group', 'young', 'pirates', 'set', 'sail', 'grand', 'line']",7.2
One & Done,documentary,"['showtime', 'sports', 'chronicals', 'sprawling', 'journey', 'number', 'one', 'nba', 'draft', 'pick', 'ben', 'simmons', 'relatively', 'anonymous', 'australian', 'upbringing', 'high', 'school', 'college', 'america', 'top', 'top', 'rookie', 'class', 'wo']",7.0
Tom Waits for No One,animation,"['waits', 'sings', 'streets']",6.9
Semper Fi: One Marine's Journey,documentary,"['gay', 'marines', 'crisis', 'conscience', 'serving', 'iraq']",7.6
No One Dies in Lily Dale,documentary,"['candid', 'portrayal', 'lily', 'dale', 'spiritualist', 'community', 'upstate', 'new', 'york', 'towns', 'residents', 'registered', 'mediums', 'regularly', 'give', 'spiritual', 'readings', 'visitors', 'alleged', 'communication', 'decease']",6.0
One Evening After the War,drama,"['end', 'cambodian', 'civil', 'war', 'people', 'cambodia', 'struggled', 'return', 'normal', 'lives', 'among', 'kick', 'boxer', 'savannah', 'narith', 'roeun', 'survivor', 'war', 'lost', 'family', 'horrors', 'th']",6.9
Survivor - Season One: The Greatest and Most Outrageous Moments,documentary,"['video', 'feature', 'shows', 'highlights', 'first', 'season', 'survivor', 'television', 'show', 'castaway', 'featured', 'order', 'voted', 'starting', 'clips']",5.7
It Was One of Us,comedy,"['former', 'college', 'roommates', 'reveal', 'personal', 'secrets', 'emotional', 'reunion']",5.2
One Room Tenants,drama,"['lives', 'several', 'one', 'room', 'tenants', 'warsaws', 'old', 'town', 'young', 'roommates', 'poet', 'student', 'writer', 'leftwing', 'activist', 'face', 'difficulties', 'finding', 'place', 'early', '1930s', 'reality']",7.0
"Queen: Magic Years, Volume One - A Visual Anthology",documentary,"['video', 'trilogy', 'documents', 'music', 'group', 'queens', 'sixteen', 'years', 'together', 'volume', 'includes', 'live', 'aid', '1986', 'tour']",8.6
The One Armed Executioner,action,"['story', 'interpol', 'agent', 'turned', 'restaurateur', 'revenge', 'gangsters', 'cut', 'arm', 'killed', 'bride', 'tragedy', 'left', 'deeply', 'depressed', 'battle', 'depression', 'first', 'b']",6.0
"One Street Organ, One Life",drama,"['poor', 'musician', 'loses', 'wife', 'childbirth', 'complications', 'gives', 'newborn', 'daughter', 'adoption', 'wealthy', 'family', 'ashamed', 'action', 'one', 'helps', 'fell', 'love', 'musician']",6.5
The Black List: Volume One,documentary,"['journalist', 'elvis', 'mitchell', 'interviews', 'twentytwo', 'african', 'american', 'leaders', 'ranging', 'athletes', 'academics', 'politicians', 'social', 'activists', 'artists', 'providing', 'series', 'living', 'portraitsa', 'unique', 'glimpse', 'zeitgeis']",7.1
9/11: Inside Air Force One,documentary,"['documentary', 'takes', 'viewers', 'aboard', 'air', 'force', 'one', 'cockpits', 'command', 'centers', 'underground', 'bunkers', 'across', 'country', 'one', 'challenging', 'confusing', 'terrifying', 'days', 'american', 'history']",7.9
I'm the One You Want,drama,"['would', 'say', 'female', 'teacher', 'falling', 'love', '15yearold', 'would', 'think', 'heard', 'confession', 'set', 'borders', 'someones', 'love', 'feelings']",7.3
One Day of Life,drama,"['story', 'two', 'men', 'caught', 'mexican', 'revolution', 'close', 'friends', 'opposite', 'sides', 'one', 'military', 'officer', 'one', 'expects', 'capital', 'punishment', 'prisoners', 'mother', 'comes', 'visit']",7.3
Nineteen Twenty One,action,"['film', 'focuses', 'bullock', 'cart', 'driver', 'khader', 'mammootty', 'retired', 'corporal', 'world', 'war', 'veteran', 'unni', 'krishnan', 'suresh', 'gopi', 'hardline', 'nationalist', 'revolutionary', 'family', 'hindu', 'landlords', 'men', 'join', 'brigade']",6.5
Jewel's Catch One,documentary,"['jewels', 'catch', 'one', 'directed', 'filmmaker', 'c', 'fitz', 'celebrates', 'legacy', 'legendary', 'los', 'angeles', 'nightclub', 'catch', 'one', 'lifechanging', 'impact', 'owner', 'jewel', 'thaiswilliams', 'community', 'breaking', 'racial', 'cultur']",7.2
Llyn Foulkes One Man Band,documentary,"['age', '70', 'la', 'painter', 'onemanband', 'musician', 'llyn', 'foulkes', 'struggles', 'remembered', 'finishes', 'two', 'paintings', 'one', 'cost', 'marriage', 'feverishly', 'works', 'create', 'deep', 'threedimensional', 'pictures', 'layering', 'real']",6.9
One Mile from Heaven,drama,"['newspaper', 'woman', 'believes', 'scoop', 'finds', 'quadroonmulatto', 'woman', 'thought', 'mother', 'white', 'child']",6.5
The Sound of One Hand Clapping,drama,"['36yearold', 'sonja', 'buloh', 'visits', 'father', 'bojan', 'tasmanias', 'capital', '20', 'years', 'absence', 'left', 'beat', 'drunken', 'rage', 'finds', 'sad', 'alcoholic', 'brings', 'back', 'memories', 'hard', 'life', '30']",5.9
No One Here Gets Out Alive: A Tribute to Jim Morrison,documentary,"['ten', 'years', 'death', 'lead', 'singer', 'jim', 'morrison', 'remaining', 'members', 'doors', 'offer', 'insight', 'unique', 'vision', 'rock', 'roll', 'legend']",7.6
One Fourty,documentary,[],6.3
The Many Trials of One Jane Doe,drama,"['based', 'true', 'story', 'extraordinary', 'woman', 'traumatizing', 'rape', 'refuses', 'remain', 'victim', 'wendy', 'crewson', 'stars', 'jane', 'doe', 'must', 'legally', 'called', 'woman']",6.6
One Step to Eternity,drama,"['francois', 'roques', 'powerandmoneymad', 'editor', 'paris', 'newspaper', 'justifies', 'actions', 'calling', 'attention', 'povertystricken', 'childhood', 'invites', 'four', 'women', 'housewarming', 'penthouse', 'apartment', 'plans']",6.3
One Last Hug: Three Days at Grief Camp,documentary,"['camp', 'encourages', 'children', 'lost', 'close', 'family', 'members', 'open', 'feelings']",7.4
One by One,animation,"['place', 'africa', 'follow', 'group', 'children', 'preparing', 'kites', 'adventure', 'life']",7.1
The Gamers: Natural One,comedy,"['natural', 'one', 'begins', 'summons', 'gary', 'canadian', 'halfsister', 'monica', 'shes', 'getting', 'married', 'family', 'tradition', 'calls', 'future', 'partner', 'vetted', 'ingameis', 'gamer', 'enough', 'worthy', 'family', 'name']",7.1
One Deep Breath,drama,"['maël', 'tries', 'hard', 'cope', 'partner', 'adams', 'suicide', 'well', 'troubled', 'past', 'together', 'patricia', 'also', 'one', 'adams', 'lovers', 'gets', 'danger', 'attempt', 'help', 'maël', 'grief']",5.8
Bear Ye One Another's Burden,drama,[],5.9
One of the Good Ones,drama,"['hopeless', 'romantic', 'drug', 'rehab', 'falls', 'good', 'girl', 'la', 'thats', 'looking', 'good', 'time']",4.7
One Man Dies a Million Times,drama,"['true', 'story', 'set', 'future', 'seeds', 'genetic', 'diversity', 'growth', 'decay', 'love', 'war', 'hunger', 'kinds', 'means', 'human', 'even', 'humanity', 'stripped', 'away']",6.3
One Last Fling,comedy,"['bored', 'housewife', 'wants', 'return', 'former', 'job', 'music', 'store', 'husband', 'manages', 'promised', 'position', 'old', 'flame', 'complications', 'ensue']",5.1
One Dead Indian,drama,"['stoney', 'point', 'natives', 'assemble', 'ipperwash', 'provincial', 'park', 'began', 'peaceful', 'protest']",7.0
The Last One,documentary,"['far', 'corner', 'southern', 'appalachia', 'moonshiner', 'popcorn', 'sutton', 'makes', 'one', 'last', 'batch', 'true', 'bootleg', 'whiskey', 'craft', 'traditional', 'distillation', 'revealed', 'along', 'lifetime', 'memories', 'trade']",8.0
One Day in the Life of Noah Piugattuk,drama,"['noah', 'piugattuks', 'nomadic', 'inuit', 'band', 'live', 'hunt', 'dog', 'team', 'ancestors', 'white', 'man', 'known', 'boss', 'arrives', 'camp', 'appears', 'chance', 'meeting', 'soon', 'opens', 'prospect', 'momentous', 'change']",7.2
One Way Ticket,comedy,"['story', 'crazy', 'fans', 'superstars', 'go', 'extent', 'promote', 'screen', 'idols', 'movies', 'even', 'sacrifice', 'career', 'trying', 'promote', 'favorite', 'stars']",3.5
One Life Stand,drama,"['trise', 'clarke', 'loving', 'deluded', 'single', 'mother', 'unwittingly', 'propels', '18yearold', 'son', 'john', 'paulinto', 'career', 'male', 'escort']",4.7
One Kine Day,drama,"['mountains', 'hidden', 'touristic', 'beaches', 'waikiki', 'ralsto', '19', 'year', 'old', 'hawaiian', 'skateboarder', 'wakes', 'day', 'never', 'forget']",4.3
One Week Job,documentary,"['graduating', 'university', 'sean', 'aiken', 'struggled', 'question', 'life', 'father', 'said', 'find', 'passion', 'taking', 'advice', 'heart', 'sean', 'created', 'oneweek', 'job', 'project', 'goal', 'wor']",5.3
One Chance in a Thousand,action,[],5.9
The Fierce One,drama,"['kazakh', 'steppe', 'days', 'revolution', 'young', 'boy', 'raises', 'wolf', 'cub']",6.6
One Too Many Mornings,comedy,"['coming', 'age', 'comedy', 'two', 'guys', 'way', 'old', 'coming', 'age']",6.2
Ming of Harlem: Twenty One Storeys in the Air,documentary,"['documentary', 'exploring', 'secret', 'lives', 'behavior', 'extreme', 'levels', 'humanbeast', 'intimacy', 'communication', 'focusing', 'new', 'york', 'story', 'antoine', 'yates', 'cohabitation', 'harlem', 'highrise', 'ming', 'fivehu']",5.3
One Little Pill,documentary,"['worldwide', 'alcohol', 'abuse', 'kills', 'people', 'hiv', 'nearly', '33', 'million', 'per', 'year', 'profiling', 'recovering', 'alcoholics', 'medical', 'professionals', 'justice', 'practitioners', 'investigation', 'exposes', 'benefits', 'littleknown', 'drug', 'nal']",8.5
One Good Man,drama,"['aaron', 'young', 'good', 'man', 'suddenly', 'faces', 'new', 'challenges', 'work', 'home', 'church', 'put', 'test', 'rise', 'occasion', 'help', 'people', 'closest']",6.7
One More Spring,comedy,"['one', 'spring', '1935', 'film', 'three', 'people', 'janet', 'gaynor', 'warner', 'baxter', 'walter', 'woolf', 'king', 'living', 'together', 'maintenance', 'shed', 'central', 'park', 'alternative', 'living', 'streets', 'film', 'written', 'edwin']",7.0
Daft Punk: One More Time,animation,[],7.3
Street Fighter: Round One - Fight!,action,"['based', 'legendary', 'capcom', 'street', 'fighter', 'video', 'games', 'best', 'selling', 'comic', 'book', 'series']",6.0
One for the Fire: The Legacy of 'Night of the Living Dead',documentary,"['definitive', 'documentary', 'recaps', 'evolution', 'american', 'cinema', 'classic', 'past', '40', 'years']",7.9
One Night Stud,comedy,"['architect', 'zuo', 'xiaoxin', 'wants', 'live', 'happy', 'life', 'child', 'man', 'meets', 'handsome', 'popular', 'host', 'zha', 'yi', 'coincidence', 'soon', 'sleeps', 'zha', 'yi', 'pregnant', 'successfully', 'wishes', 'give']",5.1
One Night in Taipei,comedy,"['wild', 'spin', 'hangover', 'man', 'sent', 'wacky', 'trip', 'taiwans', 'nightlife', 'hunt', 'engagement', 'ring']",4.2
One Way Ticket,action,"['based', 'true', 'story', 'one', 'way', 'ticket', 'criminal', 'named', 'webb', 'arrested', 'murder', 'looks', 'like', 'spending', 'rest', 'days', 'behind', 'bars', 'affair', 'female', 'guard', 'helps']",5.9
One of Us,drama,"['palestinian', 'guerillas', 'break', 'israeli', 'camp', 'occupied', 'territories', 'kill', 'israeli', 'soldiers', 'killed', 'apart', 'one', 'dies', 'camp', 'captured', 'alive', 'israeli', 'military', 'des']",7.1
The Big Red One: The Reconstruction,documentary,"['reconstruction', 'title', 'refers', 'reworking', 'reediting', 'restructuring', 'sam', 'fullers', 'big', 'red', 'one', 'brining', 'closer', 'film', 'fuller', 'originally', 'envisioned']",7.9
Kamen Rider Build: Be the One,action,"['japanese', 'civil', 'war', 'newly', 'appointed', 'governors', 'region', 'seito', 'hokuto', 'touto', 'support', 'mission', 'reunify', 'japan', 'however', 'secretly', 'members', 'evoltos', 'home', 'clan', 'known', 'blood']",7.2
That One Night,comedy,"['one', 'night', 'exciting', 'comedy', 'dating', 'nearing', '30', 'reunification', 'five', 'college', 'friends', 'drifted', 'apart', 'since', 'entering', 'workforce', 'film', 'centers', 'around', 'chauncey', 'social', 'animal', 'whose', 'best', 'friend']",6.9
One of Our Own,drama,"['ironic', 'twisting', 'tale', 'family', 'planning', 'gone', 'wrong', 'pursuit', 'perfect', 'nuclear', 'family', 'turns', 'battle', 'wills', 'two', 'couples', 'unborn', 'baby', 'cannot', 'share']",6.4
Did You Hear the One About the Traveling Saleslady?,comedy,"['agatha', 'knabenshu', 'arrives', 'small', 'town', 'missouri', 'sell', 'player', 'pianos', 'locals', 'shes', 'fired', 'disastrous', 'sales', 'attempts', 'nearly', 'destroy', 'town', 'stranded', 'saleslady', 'becomes', 'friendly', 'equally', 'bumbling']",6.3
SWAT: Warhead One,action,"['los', 'angeles', 'special', 'police', 'force', 'must', 'stop', 'terrorists', 'nuclear', 'capabilities']",2.5
One Glorious Sunset,drama,"['jackie', 'sean', 'young', 'full', 'hopes', 'living', 'dream', 'paradise', 'island', 'fades', 'away', 'family', 'difficulties', 'economic', 'hardship', 'jeopardise', 'relationship']",6.5
Buzz One Four,documentary,"['crashed', 'planes', 'lost', 'nuclear', 'bombs', 'air', 'force', 'coverup', 'filmmaker', 'unpacks', 'secret', 'history', 'grandfather', 'nearly', 'blewup', 'eastern', 'seaboard']",7.7
Two Brides and One Wedding,comedy,"['marie', 'typical', 'urban', 'single', 'although', 'works', 'successful', 'television', 'presenter', 'gift', 'attracting', 'idiots', 'relationships', 'contrary', 'sister', 'karolína', 'already', 'found', 'right', 'one', 'planni']",4.8
One Way Boogie Woogie/27 Years Later,documentary,[],7.3
One Leg Kicking,comedy,"['group', 'underdogs', 'form', 'amateur', 'football', 'team', 'play', 'local', 'league', 'prize', 'winners', 'trip', '2002', 'world', 'cup', 'finals', 'team', 'include', 'common', 'mans', 'hero', 'raises', 'two', 'children', 'singlehandedly']",4.3
One Crazy Christmas,comedy,"['sabrina', 'successful', 'divorced', 'attorney', 'must', 'juggle', 'family', 'guests', 'christmas', 'dinner', 'daughter', 'leslie', 'surprisingly', 'brings', 'home', 'new', 'fiance', 'juan', 'also', 'invites', 'father', 'glen', 'sabrinas', 'exhusband']",6.2
Flip a Coin -ONE OK ROCK Documentary-,documentary,"['unable', 'tour', '2020', 'members', 'one', 'ok', 'rock', 'work', 'months', 'put', 'online', 'concert', 'matches', 'energy', 'inperson', 'shows']",
One Rogue Reporter,documentary,"['everyone', 'fantasised', 'emailing', 'boss', 'amp', 'unleashing', 'really', 'think', 'actually', 'ever', 'reach', 'keyboard', 'fewer', 'still', 'end', 'pressing', 'send', 'one', 'made', 'film', 'one', 'rogue']",7.1
One Woman's Courage,drama,"['graces', 'husband', 'craig', 'affair', 'starts', 'drinking', 'one', 'night', 'grace', 'witnesses', 'man', 'attacking', 'girl', 'helps', 'hospital', 'want', 'witness']",5.3
One Hour Outcall,drama,"['middleaged', 'mans', 'interludes', 'highclass', 'escort', 'force', 'confront', 'relationship', 'family', 'demons']",4.6
The Immoral One,drama,"['softporn', 'film', 'beautiful', 'highclass', 'call', 'girl', 'loses', 'memory', 'car', 'accident', 'must', 'rediscover', 'lost', 'identity']",5.0
Goofy Movies Number One,comedy,"['first', 'part', 'short', 'metrophony', 'newsreel', 'contains', 'actual', 'newsreel', 'footage', 'humorous', 'commentary', 'eg', 'flotilla', 'gondolas', 'parodied', 'harvardyale', 'regatta', 'second', 'part', 'parodies', 'silent', 'movie']",5.8
One Day of Betty,drama,"['free', 'entry', 'adventurous', 'journey', 'adulthood', 'summer', 'youth', 'drama', 'revolving', 'around', 'wild', 'yet', 'precarious', 'relationship', 'betty', 'v', 'two', '16yearold', 'girls', 'risk', 'first', 'steps', 'towards', 'independence', 'different']",5.7
One 2 One,drama,"['society', 'social', 'customs', 'based', 'beauty', 'woman', 'challenge', 'find', 'self', 'confidence', 'inner', 'beauty', 'despite', 'lost', 'physical', 'beauty']",6.9
One Hundred Thousand Dollars for Ringo,drama,"['stranger', 'named', 'lee', 'barton', 'rides', 'western', 'town', 'rainbow', 'valley', 'hes', 'mistaken', 'former', 'resident', 'named', 'ward', 'cluster', 'believed', 'killed', 'civil', 'war', 'clusters', 'wife', 'rose', 'dead', 'young', 'son', 'sea']",5.6
Ali-Frazier I: One Nation... Divisible,documentary,"['look', 'events', 'leading', 'including', 'legendary', 'march', '1971', 'bout', 'muhammad', 'ali', 'joe', 'frazier', 'film', 'also', 'looks', 'political', 'social', 'factors', 'helped', 'make', 'fight', 'ordinary']",8.1
One-Third,drama,"['tragic', 'story', 'teen', 'prostitute', 'seen', 'eyes', 'neighbor', 'buddhist', 'monk']",4.1
One Step Behind,drama,"['dangerous', 'man', 'awakes', 'care', 'mysterious', 'woman', 'pieces', 'past', 'fall', 'place', 'hes', 'faced', 'withe', 'stark', 'choice', 'accepting', 'new', 'found', 'love', 'becoming', 'man']",7.0
One Mile Away,documentary,"['documentary', 'produced', 'rare', 'day', 'directed', 'awardwinning', 'filmmaker', 'penny', 'woolcock', 'charts', 'attempts', 'two', 'warring', 'gangs', 'inner', 'city', 'birmingham', 'burger', 'bar', 'boys', 'b21', 'johnson', 'crew', 'b6', 'bring', 'peace']",6.7
One Fine Christmas,comedy,"['group', 'neighbors', 'struggles', 'finding', 'time', 'families', 'holiday', 'season']",6.4
Christian Fuhlendorff: Mit første one man show,comedy,[],7.5
One-Penny Youth,comedy,"['husband', 'refusing', 'let', 'work', 'newlywed', 'wife', 'lands', 'job', 'typist', 'company', 'works', 'soon', 'face', 'manage', 'calm', 'especially', 'firms', 'owner', 'suave', 'philande']",7.4
One Fine Christmas,comedy,"['group', 'neighbors', 'struggles', 'finding', 'time', 'families', 'holiday', 'season']",6.4
One Night,drama,"['two', 'lonely', 'strangers', 'seek', 'refuge', 'one', 'night', 'stand', 'shocked', 'uncover', 'remarkable', 'connection', 'realize', 'must', 'risk', 'exposing', 'secrets', 'painful', 'pasts', 'one', 'last', 'chance', 'love']",5.6
One More Round,drama,"['basically', 'christian', 'version', 'rocky']",5.2
One Heart Broken Into Song,drama,"['young', 'girl', 'coming', 'age', 'lily', 'falls', 'young', 'drifter', 'coming', 'age', 'jake', 'father', 'two', 'together', 'runs', 'drifter']",5.8
Made in Korea: A One Way Ticket Seoul-Amsterdam?,documentary,"['insoo', 'radstake', 'arrived', 'holland', 'seoul', '1980', 'adopted', 'baby', 'dutch', 'couple', 'searching', 'true', 'identity', 'search', 'takes', 'along', 'eight', 'adopted', 'persons', 'came', 'flight', 'holland']",5.8
One of Those,drama,"['rocco', 'brother', 'martino', 'two', 'rich', 'countryestate', 'owners', 'descend', 'upon', 'city', 'search', 'adventure']",7.1
ONE: A Space Odyssey,animation,"['one', 'space', 'odyssey', 'minutelong', 'animated', 'lego', 'parody', 'stanley', 'kubricks', 'scifi', 'masterpiece']",6.4
